boardid;tradedate;shortname;secid;numtrades;value;open;low;high;legalcloseprice;waprice;close;volume;marketprice2;marketprice3;admittedquote;mp2valtrd;marketprice3tradesvalue;admittedvalue;waval;tradingsession;currencyid;trendclspr
TQBR;2020-10-07;Совкомфлот;FLOT;134717;10558146435.6;105.0;91.56;105.0;100.5;101.8;100.5;107924250;97.83;97.83;100.5;10558146435.6;10558146435.6;10558146435.6;0;3;SUR;
TQBR;2020-10-08;Совкомфлот;FLOT;31771;1162828009.0;100.5;98.3;101.0;100.5;99.7;100.5;11659760;99.73;99.73;100.5;1162828009.0;1162828009.0;1162828009.0;0;3;SUR;0.0
TQBR;2020-10-09;Совкомфлот;FLOT;36268;3250445612.7;100.5;100.13;103.29;103.0;102.29;103.0;31768490;102.32;102.32;103.0;3250445612.7;3250445612.7;3250445612.7;0;3;SUR;2.49
TQBR;2020-10-12;Совкомфлот;FLOT;19209;1338775861.3;103.48;103.01;104.5;103.55;103.69;103.55;12910790;103.69;103.69;103.55;1338775861.3;1338775861.3;1338775861.3;0;3;SUR;0.53
TQBR;2020-10-13;Совкомфлот;FLOT;13737;573989042.5;103.88;102.12;103.92;103.2;102.87;103.2;5578480;102.89;102.89;103.2;573989042.5;573989042.5;573989042.5;0;3;SUR;-0.34
TQBR;2020-10-14;Совкомфлот;FLOT;6915;176895682.5;103.39;102.5;103.39;103.0;102.69;103.0;1722660;102.69;102.69;103.0;176895682.5;176895682.5;176895682.5;0;3;SUR;-0.19
TQBR;2020-10-15;Совкомфлот;FLOT;12314;408986602.5;103.0;100.06;103.0;100.26;100.94;100.26;4051740;100.94;100.94;100.26;408986602.5;408986602.5;408986602.5;0;3;SUR;-2.66
TQBR;2020-10-16;Совкомфлот;FLOT;9841;197750764.1;100.88;100.06;101.93;100.47;100.46;100.47;1968440;100.46;100.46;100.47;197750764.1;197750764.1;197750764.1;0;3;SUR;0.21
TQBR;2020-10-19;Совкомфлот;FLOT;4765;71596644.5;100.65;100.27;101.25;100.4;100.57;100.4;711900;100.57;100.57;100.4;71596644.5;71596644.5;71596644.5;0;3;SUR;-0.07
TQBR;2020-10-20;Совкомфлот;FLOT;6093;207298323.9;100.4;100.0;100.54;100.07;100.15;100.07;2069910;100.15;100.15;100.07;207298323.9;207298323.9;207298323.9;0;3;SUR;-0.33
TQBR;2020-10-21;Совкомфлот;FLOT;13056;275314340.5;100.14;98.4;100.48;98.59;99.4;98.59;2769680;99.4;99.4;98.59;275314340.5;275314340.5;275314340.5;0;3;SUR;-1.48
TQBR;2020-10-22;Совкомфлот;FLOT;19110;386826580.2;98.5;95.5;98.5;96.5;96.57;96.5;4005500;96.57;96.57;96.5;386826580.2;386826580.2;386826580.2;0;3;SUR;-2.12
TQBR;2020-10-23;Совкомфлот;FLOT;10019;184301900.5;96.5;95.6;96.71;96.31;95.98;96.31;1920230;95.98;95.98;96.31;184301900.5;184301900.5;184301900.5;0;3;SUR;-0.2
TQBR;2020-10-26;Совкомфлот;FLOT;11744;230438177.4;96.16;95.51;99.57;99.1;97.6;99.1;2361110;97.6;97.6;99.1;230438177.4;230438177.4;230438177.4;0;3;SUR;2.9
TQBR;2020-10-27;Совкомфлот;FLOT;8798;198652381.8;99.1;97.95;99.53;98.6;98.48;98.6;2017230;98.48;98.48;98.6;198652381.8;198652381.8;198652381.8;0;3;SUR;-0.5
TQBR;2020-10-28;Совкомфлот;FLOT;6965;234371017.8;96.7;95.5;98.59;97.3;97.08;97.3;2414320;97.08;97.08;97.3;234371017.8;234371017.8;234371017.8;0;3;SUR;-1.32
TQBR;2020-10-29;Совкомфлот;FLOT;4039;64837948.6;97.3;97.0;98.4;97.89;97.89;97.89;662250;97.91;97.91;97.89;64837948.6;64837948.6;64837948.6;0;3;SUR;0.61
TQBR;2020-10-30;Совкомфлот;FLOT;2512;42411416.2;98.1;97.0;98.2;98.09;97.63;98.09;434390;97.63;97.63;98.09;42411416.2;42411416.2;42411416.2;0;3;SUR;0.2
TQBR;2020-11-02;Совкомфлот;FLOT;3400;68055570.3;98.15;97.0;98.35;97.96;97.5;97.96;698010;97.5;97.5;97.96;68055570.3;68055570.3;68055570.3;0;3;SUR;-0.13
