boardid;tradedate;shortname;secid;numtrades;value;open;low;high;legalcloseprice;waprice;close;volume;marketprice2;marketprice3;admittedquote;mp2valtrd;marketprice3tradesvalue;admittedvalue;waval;tradingsession;currencyid;trendclspr
TQBR;2014-06-04;Yandex clA;YNDX;1528;46288721.8;1546.7;1163.0;1546.8;1170.0;1317.0;1170.0;35146;1317.0;1317.0;1317.0;46288721.8;46288721.8;46288721.8;;3;SUR;0.0
TQBR;2014-06-05;Yandex clA;YNDX;923;28927299.1;1187.3;1141.1;1195.0;1145.1;1158.3;1145.1;24974;1158.3;1158.3;1158.3;28926111.8;28926111.8;28926111.8;;3;SUR;0.0
TQBR;2014-06-06;Yandex clA;YNDX;302;9160131.4;1158.3;1151.0;1173.5;1163.0;1161.1;1163.0;7889;1161.1;1161.1;1161.1;9160131.4;9160131.4;9160131.4;;3;SUR;0.0
TQBR;2014-06-09;Yandex clA;YNDX;275;8481667.4;1178.9;1155.7;1185.6;1172.1;1161.2;1172.1;7304;1161.2;1161.2;1161.2;8481667.4;8481667.4;8481667.4;;3;SUR;0.78
TQBR;2014-06-10;Yandex clA;YNDX;202;3768586.2;1178.9;1160.1;1181.0;1170.0;1171.8;1170.0;3216;1171.8;1171.8;1171.8;3757976.1;3757976.1;3757976.1;;3;SUR;-0.18
TQBR;2014-06-11;Yandex clA;YNDX;227;10370814.5;1175.0;1157.1;1183.0;1179.9;1173.6;1179.9;8837;1173.6;1173.6;1173.6;10370814.5;10370814.5;10370814.5;;3;SUR;0.85
TQBR;2014-06-16;Yandex clA;YNDX;260;16246738.3;1164.0;1150.0;1181.2;1165.0;1168.5;1165.0;13904;1168.5;1168.5;1168.5;16246738.3;16246738.3;16246738.3;;3;SUR;-1.26
TQBR;2014-06-17;Yandex clA;YNDX;270;10024064.0;1157.5;1157.5;1187.7;1185.5;1176.7;1185.5;8519;1176.7;1176.7;1176.7;10021749.0;10021749.0;10021749.0;;3;SUR;1.76
TQBR;2014-06-18;Yandex clA;YNDX;150;1717814.0;1180.1;1176.0;1185.0;1182.9;1180.6;1182.9;1455;1180.6;1180.6;1180.6;1717814.0;1717814.0;1717814.0;;3;SUR;-0.22
TQBR;2014-06-19;Yandex clA;YNDX;176;1630655.0;1176.0;1165.0;1182.7;1168.0;1168.1;1168.0;1396;1168.1;1168.1;1168.1;1630655.0;1630655.0;1630655.0;;3;SUR;-1.26
TQBR;2014-06-20;Yandex clA;YNDX;173;3162718.8;1165.2;1160.0;1179.0;1175.0;1170.5;1175.0;2702;1170.5;1170.5;1170.5;3162718.8;3162718.8;3162718.8;;3;SUR;0.6
TQBR;2014-06-23;Yandex clA;YNDX;489;17075973.1;1193.1;1185.0;1218.8;1196.0;1204.1;1196.0;14181;1204.2;1204.2;1204.2;16956663.1;16956663.1;16956663.1;;3;SUR;1.79
TQBR;2014-06-24;Yandex clA;YNDX;225;4675791.3;1200.0;1191.0;1208.9;1191.8;1200.5;1191.8;3895;1200.5;1200.5;1200.5;4675791.3;4675791.3;4675791.3;;3;SUR;-0.35
TQBR;2014-06-25;Yandex clA;YNDX;275;4669232.0;1185.1;1153.1;1195.0;1176.8;1171.7;1176.8;3985;1171.6;1171.6;1171.6;4626568.4;4626568.4;4626568.4;;3;SUR;-1.26
TQBR;2014-06-26;Yandex clA;YNDX;107;2827546.9;1185.0;1168.9;1188.5;1185.0;1176.7;1185.0;2403;1176.6;1176.6;1176.6;2814511.9;2814511.9;2814511.9;;3;SUR;0.7
TQBR;2014-06-27;Yandex clA;YNDX;92;1358063.0;1172.1;1165.0;1197.0;1185.0;1183.0;1185.0;1148;1183.0;1183.0;1183.0;1358063.0;1358063.0;1358063.0;;3;SUR;0.0
TQBR;2014-06-30;Yandex clA;YNDX;160;10436680.3;1185.0;1184.1;1218.1;1217.6;1192.2;1218.0;8754;1192.2;1192.2;1192.2;10430755.3;10430755.3;10430755.3;;3;SUR;2.78
TQBR;2014-07-01;Yandex clA;YNDX;210;3710863.3;1212.5;1212.5;1239.8;1218.2;1222.3;1218.2;3036;1222.3;1222.3;1222.3;3710863.3;3710863.3;3710863.3;;3;SUR;0.02
TQBR;2014-07-02;Yandex clA;YNDX;295;40464426.5;1218.0;1195.0;1220.0;1200.0;1208.9;1200.0;33473;1208.9;1208.9;1208.9;40464426.5;40464426.5;40464426.5;;3;SUR;-1.49
TQBR;2014-07-03;Yandex clA;YNDX;324;30777547.4;1189.6;1184.0;1213.8;1192.0;1201.3;1192.0;25620;1201.3;1201.3;1201.3;30708550.6;30708550.6;30708550.6;;3;SUR;-0.67
TQBR;2014-07-04;Yandex clA;YNDX;133;2545939.5;1184.9;1183.0;1204.9;1186.0;1193.6;1186.0;2133;1193.6;1193.6;1193.6;2545939.5;2545939.5;2545939.5;;3;SUR;-0.5
TQBR;2014-07-07;Yandex clA;YNDX;544;22564599.9;1200.0;1152.0;1211.8;1160.0;1165.6;1160.0;19359;1165.6;1165.6;1165.6;22564599.9;22564599.9;22564599.9;;3;SUR;-2.19
TQBR;2014-07-08;Yandex clA;YNDX;1156;30074299.2;1165.0;1100.0;1180.0;1113.4;1132.1;1113.4;26565;1132.1;1132.1;1132.1;30074299.2;30074299.2;30074299.2;;3;SUR;-4.02
TQBR;2014-07-09;Yandex clA;YNDX;885;21176716.6;1100.0;1073.8;1111.0;1094.0;1087.9;1094.0;19466;1087.9;1087.9;1087.9;21121716.6;21121716.6;21121716.6;;3;SUR;-1.74
TQBR;2014-07-10;Yandex clA;YNDX;471;12238635.0;1102.5;1061.5;1125.7;1077.8;1089.3;1077.8;11235;1089.3;1089.3;1089.3;12217687.5;12217687.5;12217687.5;;3;SUR;-1.48
TQBR;2014-07-11;Yandex clA;YNDX;332;39026692.7;1072.2;1056.0;1101.5;1098.5;1097.4;1099.3;35563;1097.4;1097.4;1097.4;39026692.7;39026692.7;39026692.7;;3;SUR;1.99
TQBR;2014-07-14;Yandex clA;YNDX;240;6886754.8;1109.6;1090.2;1123.5;1117.0;1110.4;1118.9;6202;1110.4;1110.4;1110.4;6875658.8;6875658.8;6875658.8;;3;SUR;1.78
TQBR;2014-07-15;Yandex clA;YNDX;118;3108911.6;1123.3;1110.0;1127.5;1114.3;1114.7;1114.3;2789;1114.7;1114.7;1114.7;3108911.6;3108911.6;3108911.6;;3;SUR;-0.41
TQBR;2014-07-16;Yandex clA;YNDX;142;8101448.6;1114.2;1098.1;1115.5;1106.5;1103.7;1106.5;7340;1103.7;1103.7;1103.7;8101448.6;8101448.6;8101448.6;;3;SUR;-0.7
TQBR;2014-07-17;Yandex clA;YNDX;231;7919204.2;1098.0;1067.6;1107.5;1088.0;1096.7;1088.0;7221;1096.7;1096.7;1096.7;7919204.2;7919204.2;7919204.2;;3;SUR;-1.67
TQBR;2014-07-18;Yandex clA;YNDX;361;7593423.1;1084.2;1054.1;1084.2;1072.3;1062.6;1072.3;7146;1062.6;1062.6;1062.6;7591254.7;7591254.7;7591254.7;;3;SUR;-1.44
TQBR;2014-07-21;Yandex clA;YNDX;244;8905579.1;1080.0;1035.0;1081.4;1047.5;1066.2;1047.5;8353;1066.2;1066.2;1066.2;8905579.1;8905579.1;8905579.1;;3;SUR;-2.31
TQBR;2014-07-22;Yandex clA;YNDX;219;10984944.0;1050.4;1043.9;1060.0;1060.0;1049.4;1060.0;10468;1049.4;1049.4;1049.4;10984944.0;10984944.0;10984944.0;;3;SUR;1.19
TQBR;2014-07-23;Yandex clA;YNDX;141;5580904.9;1061.4;1047.4;1062.0;1056.2;1055.8;1056.2;5286;1055.8;1055.8;1055.8;5580904.9;5580904.9;5580904.9;;3;SUR;-0.36
TQBR;2014-07-24;Yandex clA;YNDX;227;5572067.6;1056.2;1048.3;1093.4;1077.8;1074.4;1077.8;5186;1074.4;1074.4;1074.4;5572067.6;5572067.6;5572067.6;;3;SUR;2.05
TQBR;2014-07-25;Yandex clA;YNDX;225;5596609.6;1077.8;1070.1;1109.4;1075.1;1091.6;1075.1;5127;1091.6;1091.6;1091.6;5596609.6;5596609.6;5596609.6;;3;SUR;-0.25
TQBR;2014-07-28;Yandex clA;YNDX;136;4262162.4;1060.2;1050.1;1075.0;1055.0;1067.7;1055.0;3992;1067.7;1067.7;1067.7;4262162.4;4262162.4;4262162.4;;3;SUR;-1.87
TQBR;2014-07-29;Yandex clA;YNDX;490;12977256.1;1055.1;1055.1;1147.6;1116.0;1100.3;1116.0;11794;1100.3;1100.3;1100.3;12977256.1;12977256.1;12977256.1;;3;SUR;5.78
TQBR;2014-07-30;Yandex clA;YNDX;306;3435299.8;1112.3;1106.0;1129.8;1124.7;1117.2;1120.0;3075;1117.2;1117.2;1117.2;3435299.8;3435299.8;3435299.8;;3;SUR;0.36
TQBR;2014-07-31;Yandex clA;YNDX;170;5401995.4;1129.9;1081.1;1129.9;1087.7;1105.6;1087.7;4886;1105.6;1105.6;1105.6;5401995.4;5401995.4;5401995.4;;3;SUR;-2.88
TQBR;2014-08-01;Yandex clA;YNDX;168;7108188.3;1096.9;1060.0;1096.9;1062.9;1073.6;1062.2;6621;1073.6;1073.6;1073.6;7108188.3;7108188.3;7108188.3;;3;SUR;-2.34
